SproutN,BunchN,ShootL,NodeN,SPAD06,SPAD07,SPAD08,LWC,ChlA,ChlB,Carot,Anth,Phenol
0.77311605,0.48766655,0.461092,0.5922501,0.42292538,0.55823916,0.56492084,0.69607276,0.4798444,0.4406484,0.58089787,0.30822477,0.31072876
0.4529846,0.6135622,0.60584944,0.4743164,0.44639862,0.47369105,0.6123312,0.4969865,0.68665135,0.27949733,0.43091655,0.38979834,0.40125316
0.51179403,0.73368686,0.7008137,0.5823111,0.5224403,0.60574335,0.501997,0.5955282,0.6102381,0.54184765,0.43807128,0.44206917,0.46134162
0.71588564,0.4253903,0.5260409,0.6512156,0.5431302,0.6570061,0.67554206,0.4031667,0.45210633,0.68533456,0.85396206,0.4411587,0.43414384
0.5457479,0.9068524,0.4759155,0.46933466,0.39749464,0.32264948,0.34969223,0.32617944,0.7141869,0.65801865,0.53735405,0.8236174,0.85339594
0.58539045,0.68433946,0.49416167,0.40876567,0.55252886,0.30798087,0.47533572,0.28960788,0.3591834,0.40342912,0.43931153,0.5995743,0.55408573
0.3541274,0.6355089,0.563099,0.31970087,0.32842055,0.3455412,0.6241409,0.47608805,0.43934333,0.33173358,0.33261207,0.39068064,0.40049404
0.8016193,0.28773636,0.64999455,0.80891156,0.77867836,0.73151463,0.56396836,0.30655837,0.6392288,0.7131551,0.91463256,0.70674336,0.64591163
0.50712454,0.99285805,0.3699395,0.35962626,0.39736417,0.3050696,0.42667454,0.5493322,0.4958159,0.56273043,0.33668125,0.7454155,0.8514362
0.6341238,0.34428436,0.3848756,0.462227,0.7106587,0.451352,0.6049983,0.40664244,0.5071707,0.46797258,0.7018442,0.39035743,0.274957
0.38344467,0.812596,0.5307893,0.47722125,0.26932645,0.44657347,0.3772834,0.54186696,0.55573535,0.42972723,0.37758833,0.5183587,0.5714621
0.5160695,0.31830543,0.4358744,0.48570436,0.5835269,0.5465001,0.6649554,0.62407976,0.43367422,0.31072095,0.4699791,0.47090596,0.464584
0.49097088,0.36155003,0.38311785,0.4639492,0.6123736,0.52631205,0.53448415,0.5675712,0.31379378,0.40757275,0.54528594,0.33345634,0.25130898
0.26186252,0.6291758,0.62319905,0.2905886,0.30462393,0.32895416,0.5055372,0.61352515,0.39366353,0.3833889,0.18227577,0.51920354,0.56357723
0.35202235,0.6928796,0.48890364,0.35728562,0.21979234,0.35626414,0.6083222,0.4448611,0.4908944,0.26122063,0.37413546,0.443942,0.5079052
0.2910766,0.9206647,0.41643453,0.36667955,0.26043564,0.3980328,0.4280358,0.5548295,0.26934245,0.5070651,0.2663384,0.6901527,0.82164145
0.70929074,0.32582057,0.575224,0.58988446,0.40007478,0.5598033,0.771158,0.4899575,0.6212517,0.4002112,0.6619838,0.49002394,0.5353431
0.54376096,0.44958726,0.42525738,0.5764634,0.64167225,0.6338974,0.5814625,0.62748104,0.6358762,0.5175428,0.6375593,0.47208405,0.46256816
0.61893326,0.46608338,0.334351,0.5640382,0.4808499,0.5254485,0.37457883,0.79367894,0.3539779,0.18041536,0.34464556,0.44801474,0.43635046
0.5724288,0.33959603,0.52491057,0.59382975,0.6369715,0.624696,0.620721,0.51447135,0.59620845,0.5220709,0.67051303,0.51961964,0.48698348
0.7654503,0.528322,0.35688418,0.58312565,0.59127766,0.5767391,0.586707,0.7777176,0.38241395,0.40798056,0.47141007,0.5165807,0.55697876
0.31416488,0.27840155,0.5013473,0.45430887,0.61132026,0.55777967,0.59435356,0.38210267,0.5565803,0.55239064,0.70898795,0.41138613,0.31040308
0.43026188,0.67490095,0.49375802,0.30283234,0.58746624,0.25615615,0.4786678,0.24080533,0.34794042,0.50571275,0.4392561,0.5626438,0.46860355
0.4643034,0.64049906,0.61504686,0.5199437,0.40657118,0.44547886,0.360573,0.3020783,0.42445675,0.4251079,0.5116178,0.43719128,0.36131525
0.476872,0.64387286,0.5001792,0.40129632,0.62008226,0.3265393,0.48642987,0.21631676,0.6023041,0.4251847,0.55251336,0.5437326,0.45163882
0.45611677,0.6882903,0.58511186,0.60671467,0.70569515,0.6153113,0.50357,0.18831855,0.5100116,0.5900084,0.68828595,0.5634018,0.5160196
0.48947534,0.7907886,0.49357146,0.41540486,0.6423063,0.39055485,0.4448012,0.44899702,0.49051967,0.52522206,0.3943714,0.6278751,0.61629784
0.5398275,0.35640875,0.5496819,0.60475045,0.49016348,0.72735286,0.85426384,0.5612869,0.5212444,0.4858321,0.6878185,0.39602774,0.47169805
0.5475043,0.75995964,0.52021086,0.51622427,0.46205896,0.49368963,0.558712,0.4207487,0.47483748,0.4368786,0.50800014,0.48069257,0.52112526
0.78357387,0.33246124,0.5213745,0.69655496,0.48411196,0.5750168,0.47018474,0.44630158,0.54390407,0.34329322,0.7009591,0.41450098,0.3578892
0.6300278,0.79743695,0.50162786,0.40425545,0.48171344,0.34768423,0.5459896,0.48588115,0.41795883,0.49355364,0.4053952,0.5271065,0.55090696
0.7310687,0.47316533,0.5260703,0.71546394,0.5085749,0.6732501,0.5148903,0.5019331,0.47648135,0.65769047,0.7471483,0.6171802,0.637899
0.36572996,0.6589099,0.48709053,0.44201693,0.44710106,0.43368566,0.503989,0.3356982,0.48458028,0.30319506,0.47316408,0.45664725,0.44527578
0.4526851,0.6937747,0.57908696,0.56113297,0.48072952,0.5234815,0.44007987,0.3368333,0.46669862,0.42754763,0.4938875,0.58401835,0.5863001
0.6403378,0.47732872,0.40175563,0.49792176,0.4525703,0.49814025,0.6621427,0.5031054,0.39404136,0.60163575,0.657995,0.6067325,0.64815205
0.31861925,0.57487994,0.75539905,0.37556663,0.51578873,0.53928584,0.7872143,0.64478,0.42153594,0.5328953,0.2715665,0.5279349,0.6216404
0.26053882,0.666865,0.6295005,0.20600021,0.2625846,0.27330506,0.5755911,0.60288024,0.2925303,0.53974026,0.14872254,0.7131874,0.7936596
0.32991695,0.6244212,0.5336084,0.48045108,0.5554758,0.46756113,0.44042712,0.32469237,0.66442835,0.34500355,0.5144732,0.47519615,0.4165674
0.62513393,0.74013734,0.6644764,0.45636657,0.44459134,0.37248015,0.5096866,0.4315288,0.6140826,0.6356418,0.5087955,0.47952905,0.4386856
0.60270125,0.3327854,0.62937456,0.6697664,0.3820566,0.6634405,0.71070147,0.36801302,0.73016775,0.535289,0.8397356,0.4748995,0.5060942
0.6086465,0.41549858,0.5103427,0.64020485,0.5900053,0.61271596,0.42051023,0.6842051,0.65656734,0.4978423,0.5410458,0.616969,0.5919746
0.4322792,0.80330294,0.35283446,0.34424555,0.439236,0.3097175,0.51157916,0.3847779,0.39233848,0.3588682,0.39201635,0.59055793,0.6337872
0.48323128,0.6847556,0.5985659,0.49725664,0.48113358,0.5318198,0.6374165,0.518305,0.5222602,0.39018732,0.43103856,0.41574433,0.45941776
0.49059275,0.787977,0.5880356,0.6084304,0.5719368,0.59159076,0.48366123,0.42736876,0.76820123,0.5683475,0.5794641,0.6103278,0.6438001
0.6811024,0.47497362,0.518708,0.48390108,0.21351624,0.34119877,0.38650703,0.6435948,0.7079308,0.5005941,0.50055134,0.59626216,0.5840596
0.67911154,0.44964477,0.3822853,0.48399574,0.38275188,0.46334985,0.72137403,0.6254313,0.5294539,0.2854967,0.52255666,0.4668086,0.5313531
0.5234677,0.6066489,0.65900064,0.54209405,0.71146816,0.5421528,0.572445,0.3104009,0.5038005,0.5022921,0.54375535,0.51471984,0.4560719
0.49386552,0.75887996,0.475078,0.43224338,0.4022564,0.37223718,0.46567786,0.5274045,0.5860559,0.31209216,0.35401925,0.5408686,0.5824358
0.61779696,0.50776935,0.41612536,0.4884836,0.3850246,0.45398995,0.5424107,0.5401656,0.48123807,0.6278122,0.62815225,0.6310787,0.65442216
0.47460422,0.7908505,0.504807,0.546996,0.76355964,0.58592236,0.45726323,0.4509375,0.52693176,0.5556789,0.5257571,0.47914642,0.45457125
0.42567658,0.59585565,0.65278864,0.6247864,0.43106604,0.5607421,0.3866598,0.41776943,0.7677932,0.26961678,0.49854589,0.4639628,0.4393888
0.66965264,0.4652061,0.3826884,0.4655308,0.56862795,0.4524718,0.5015289,0.65433866,0.33991966,0.5186052,0.51106143,0.45116472,0.39446616
0.5497565,0.35956556,0.5753114,0.56017107,0.5582891,0.6055544,0.5830465,0.7123759,0.67359936,0.47782648,0.51671606,0.4496912,0.42301565
0.2908544,0.78869104,0.5473257,0.42370042,0.39177823,0.47416013,0.41789937,0.6070662,0.36926612,0.4652986,0.25380448,0.60118026,0.6740446
0.35007256,0.6189798,0.63482475,0.55016255,0.46454626,0.5881641,0.55592114,0.46170127,0.57818174,0.3215136,0.41867465,0.5030127,0.538628
0.29495096,0.6143996,0.6856133,0.4889707,0.63432217,0.5490101,0.609918,0.2853366,0.56413674,0.5769585,0.4809614,0.7179625,0.7123159
0.44625518,0.31530035,0.5905511,0.5576633,0.43902713,0.61437774,0.48875087,0.55350155,0.41293797,0.50201076,0.59518456,0.31453952,0.23954079
0.6362395,0.39438015,0.49329615,0.45744857,0.5447425,0.44158387,0.60211104,0.6836018,0.62808573,0.48813593,0.4682054,0.59164846,0.5721586
0.3663626,0.7989138,0.40262872,0.33594438,0.47763896,0.26092008,0.2238152,0.28373933,0.2619213,0.535529,0.42096376,0.5479642,0.45066845
0.29784426,0.73205304,0.47164702,0.18000582,0.31500018,0.24575508,0.61433685,0.7629086,0.4475079,0.31690666,0.0678232,0.61155725,0.71990913
0.5056283,0.5068666,0.36784416,0.3336412,0.45619628,0.33886227,0.5696727,0.48244238,0.51824546,0.71805286,0.6434706,0.59986484,0.56371075
0.66341025,0.85944957,0.5518547,0.43191788,0.58176726,0.42574242,0.6114936,0.50760376,0.46604565,0.68351126,0.49406192,0.47211483,0.49245954
0.6797373,0.3549455,0.546315,0.5550186,0.5306739,0.58558255,0.6816246,0.61350286,0.3546668,0.5079884,0.5666665,0.42112103,0.40970886
0.29648897,0.4586667,0.35367072,0.379833,0.45828274,0.46539673,0.51719904,0.4155808,0.4652664,0.66534346,0.7074232,0.48875353,0.43643922
0.25284827,0.7414678,0.5108021,0.39926234,0.48343024,0.41984892,0.41718203,0.46596628,0.5721065,0.44201124,0.35553944,0.58410215,0.5825868
0.47962746,0.6174033,0.63929474,0.6226702,0.61037296,0.6063901,0.47424334,0.2678337,0.63426423,0.47030848,0.6745343,0.3824294,0.3039366
0.31895444,0.68166035,0.54202753,0.37357685,0.59779084,0.35876906,0.31963426,0.49699748,0.4201782,0.4162954,0.23629028,0.68706983,0.6562645
0.5157538,0.68939066,0.5413571,0.5264919,0.4817854,0.47504592,0.34158206,0.5718469,0.3729718,0.2507182,0.28513336,0.4193658,0.39787665
0.12029837,0.6547684,0.5135715,0.33829212,0.5680514,0.32786128,0.28889677,0.426611,0.58573925,0.38839248,0.3309572,0.611214,0.4972499
0.6079457,0.44593546,0.6092684,0.59341455,0.57149345,0.58603686,0.47331393,0.58649653,0.6725261,0.8151758,0.6871774,0.6154824,0.5554196
0.2094774,0.71201545,0.5643013,0.27888215,0.4411024,0.33293957,0.5795826,0.4466399,0.56172,0.5481272,0.3210597,0.65429556,0.67501783
0.49529418,0.7795325,0.59297323,0.39163202,0.35113764,0.35264215,0.40812308,0.61501014,0.39872283,0.4818098,0.25490692,0.5097802,0.525337
0.3620597,0.62860805,0.5592118,0.39371383,0.7203141,0.4648612,0.6845331,0.41394377,0.5883157,0.4219973,0.41636404,0.5401589,0.52847046
0.4661114,0.6566744,0.6683354,0.58949953,0.6791043,0.6052096,0.4925595,0.4456964,0.6174941,0.4945225,0.48454583,0.5347162,0.51063347
0.6616804,0.68642116,0.6261206,0.5629161,0.40325814,0.46041578,0.58711565,0.40700334,0.74359167,0.37529334,0.5534832,0.48562738,0.5140523
0.5355298,0.44831547,0.28670707,0.4282211,0.33689108,0.32070392,0.29555506,0.47506613,0.5206386,0.31914812,0.557792,0.44520494,0.37021264
0.26786095,0.7701461,0.41374314,0.28291374,0.30896512,0.26257312,0.37324494,0.6644188,0.57575226,0.22682807,0.15539168,0.5269779,0.56671655
0.6787439,0.45741007,0.4552107,0.5855317,0.552286,0.6611557,0.7930046,0.61809415,0.47864217,0.532703,0.6800835,0.3816897,0.43709868
0.24761006,0.752125,0.4681334,0.25126004,0.408895,0.23539639,0.42464316,0.46116048,0.540589,0.4454698,0.26429114,0.65662146,0.6511624
0.32455322,0.6911336,0.5923266,0.4056157,0.3040165,0.4243719,0.5772438,0.39314848,0.54372275,0.46347594,0.45370778,0.48201257,0.5051105
0.65324235,0.3176841,0.5438411,0.62131417,0.5881886,0.6008932,0.5091125,0.6296196,0.5188632,0.37080377,0.53318876,0.43118572,0.37293983
0.45904586,0.7959937,0.48342,0.4150406,0.43986952,0.36087024,0.4133827,0.49923903,0.54986084,0.41976798,0.35208577,0.6086732,0.63554955
0.5729313,0.9113794,0.5019236,0.46524483,0.28226978,0.32789648,0.43370432,0.28287143,0.6449127,0.704202,0.60644555,0.7292814,0.77079034
0.16318358,0.6683598,0.50713176,0.2457286,0.39244008,0.28566065,0.522868,0.35245642,0.39162633,0.46401006,0.31680346,0.65465254,0.66029376
0.50606525,0.6641225,0.23379932,0.38372996,0.48386616,0.4372813,0.4594342,0.8088919,0.39422053,0.6226131,0.4567638,0.5066017,0.51545995
0.6527006,0.43254966,0.42269033,0.63293177,0.67262375,0.7038622,0.6816604,0.6072595,0.51922834,0.45140436,0.6961504,0.29422155,0.2888433
0.51478934,0.46269205,0.40215027,0.43840706,0.23419747,0.44124165,0.5607475,0.47028303,0.327622,0.5227227,0.6432128,0.40598541,0.41636986
0.4136851,0.7354032,0.5698881,0.40559173,0.253134,0.32980093,0.44616258,0.43695188,0.5714812,0.4375758,0.3679373,0.6181895,0.6464738
0.49460647,0.44492048,0.38052726,0.5308396,0.60673374,0.570663,0.39581215,0.64585954,0.29621878,0.5214259,0.51874363,0.4894783,0.42275637
0.55947286,0.49695098,0.37862223,0.45579475,0.6800699,0.4744299,0.42222804,0.8537882,0.41847357,0.532619,0.31118816,0.6737546,0.63668346
0.45730707,0.62636435,0.6243284,0.5370849,0.6385382,0.5878257,0.6303691,0.35552198,0.3617873,0.44156784,0.47551602,0.5331727,0.5417632
0.58644223,0.40599364,0.45499957,0.5038171,0.41235623,0.56052214,0.6726392,0.7633849,0.30723515,0.25943077,0.38315287,0.35958207,0.39767694
0.42678356,0.8291406,0.4964072,0.35061812,0.39170223,0.28269514,0.4458534,0.43521434,0.6608156,0.55173385,0.39870745,0.676912,0.6968053
