SproutN,BunchN,ShootL,NodeN,SPAD06,SPAD07,SPAD08,LWC,ChlA,ChlB,Carot,Anth,Phenol
0.7113915,0.47030303,0.37946132,0.6260009,0.3997479,0.58332443,0.5707158,0.91196936,0.51480496,0.37790304,0.66397625,0.45344222,0.3955628
0.4261883,0.36833724,0.7144536,0.51393527,0.5762875,0.5398331,0.65174603,0.44689742,0.5766017,0.27205044,0.3440008,0.43654454,0.4543344
0.5368167,0.7300386,0.6637,0.58121717,0.49003106,0.5557009,0.61576235,0.4841963,0.543072,0.33794376,0.386242,0.44501442,0.451883
0.68309355,0.39589575,0.44234163,0.7000995,0.5334151,0.664946,0.6071063,0.58982325,0.6173948,0.6759828,0.87704474,0.542529,0.48503888
0.4058989,0.87168324,0.63620937,0.41156948,0.57861984,0.4255297,0.485168,0.22613633,0.57193154,0.57832867,0.45973518,0.77705896,0.80333006
0.31299594,0.6590859,0.5895335,0.35210446,0.5824982,0.3634109,0.55929065,0.41360366,0.42456242,0.2972588,0.26315135,0.47494483,0.6178809
0.33623162,0.56871825,0.33048448,0.37992942,0.5700828,0.41399187,0.6019806,0.22697455,0.40494397,0.15818909,0.23144813,0.46877134,0.36296102
0.6552458,0.29113653,0.72997254,0.68212074,0.82475054,0.704914,0.639225,0.3344815,0.6858291,0.688276,0.9948657,0.53273594,0.4814158
0.41471872,0.95900756,0.56768435,0.36899984,0.35205093,0.32136977,0.40858966,0.5278258,0.4427763,0.49491698,0.24078654,0.7022044,0.77205753
0.53946817,0.28249022,0.45745492,0.49116072,0.4851716,0.5566571,0.5589192,0.41419616,0.49552584,0.51559484,0.7427595,0.44360507,0.4083767
0.44853202,0.8002003,0.6125175,0.4581505,0.2489622,0.4567375,0.5618646,0.5295301,0.46755633,0.33839044,0.24132028,0.49089456,0.5353887
0.49447694,0.3230295,0.37984982,0.47621003,0.63237363,0.53722334,0.53527784,0.64187586,0.4821071,0.42055658,0.61167544,0.39682823,0.39603823
0.5565728,0.5584035,0.37016287,0.5186036,0.388882,0.5433991,0.5240443,0.634175,0.49697727,0.4648457,0.62790644,0.3953306,0.3684056
0.31399703,0.43175128,0.6036206,0.336393,0.47314352,0.34184662,0.51358473,0.40610233,0.43150756,0.2427857,0.2794284,0.4888754,0.5814461
0.34916562,0.68749475,0.60440034,0.38798562,0.49161226,0.28616858,0.49544695,0.3781753,0.46185744,0.21920514,0.21668385,0.43800193,0.44234082
